Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
4.9,0.5,1050.0,-1,843877MD9GO6
7.7,8.1,2050.0,-1,418481ND8EGN
8.1,6.9,50.0,-1,778877U0DENJ
2.1,3.3,2050.0,-1,746677L0ZEK1
8.1,2.1,2050.0,-1,737778G2B8WA
8.1,1.7,150.0,-1,771788LL6SYY
0.5,2.9,950.0,-1,788677B5XEOD
4.9,0.1,2050.0,-1,8848411WJJ6J
4.5,0.9,150.0,-1,8887875RHGF0
4.5,8.1,2050.0,-1,771883NCRMLE
8.1,3.3,1350.0,-1,7631888OVRVZ
8.1,8.1,750.0,-1,618847KCFS0I
8.1,5.3,1950.0,-1,766683DACJ29
6.5,0.5,550.0,-1,8717863C5AYC
8.1,0.1,1650.0,-1,676487P8DA76
2.9,1.3,2050.0,-1,141784BOORL8
8.1,4.9,150.0,-1,8188881NERAE
4.1,2.9,2050.0,-1,817767I7543D
6.9,0.5,2050.0,-1,787688YLHKTA
0.9,3.7,1350.0,-1,886887QAJ8S4
6.1,0.1,50.0,-1,871446HE4RGJ
4.5,0.1,550.0,-1,387834H6FMDE
6.1,7.3,2050.0,-1,388173CCDTX8
7.3,8.1,350.0,-1,864771Y53GLN
6.9,0.5,950.0,-1,8776632M8IXZ
8.1,6.5,450.0,-1,171787QTTD4J
2.1,2.9,1150.0,-1,787767HCF3R8
7.7,3.7,2050.0,-1,8483778IZNBA
8.1,0.1,550.0,-1,188777RNEB6G
7.7,0.1,50.0,-1,887174G97K2Z
3.3,0.5,1050.0,-1,8838877XASJI
8.1,3.3,150.0,-1,868387AS7YC3
