Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
6.5,1.8,175.0,-1,142807C841FH
0.1,7.9,2050.0,-1,8210270R0VEA
0.1,0.1,1400.0,-1,8280116Z92D1
8.1,8.1,1375.0,-1,782207AQLS2Y
1.6,8.1,100.0,-1,0218101KY34B
0.6,2.3,50.0,-1,470802H48OVD
3.6,4.6,1275.0,-1,727218X66HWJ
8.1,2.7,1300.0,-1,8808809LQHNS
0.1,3.6,2025.0,-1,4410724YSS5J
4.1,0.5,1000.0,-1,110112BTDDTN
0.1,5.3,750.0,-1,100812Y3TI9F
4.4,8.1,1475.0,-1,810142YDWKEW
8.1,0.1,775.0,-1,201421MTQ8G7
3.4,0.7,200.0,-1,101171S4JI2T
1.4,6.9,1375.0,-1,041078YI0SXS
2.2,5.0,50.0,-1,122010ADZCOM
0.8,3.1,1275.0,-1,111118GEIXY5
0.8,0.2,625.0,-1,041022DQVDOU
6.6,5.4,1225.0,-1,482087WV1HVJ
4.5,8.1,50.0,-1,0182142CR3ZG
0.3,0.9,2050.0,-1,281000C8JTDX
5.4,2.6,1275.0,-1,880000LQ7P0Q
0.1,2.7,675.0,-1,001018BSUCUH
5.8,0.1,575.0,-1,214208MFS1JE
0.1,5.1,1575.0,-1,221811KOSDIX
1.9,1.1,1125.0,-1,840127LPM1M5
6.4,0.6,1150.0,-1,8778117F74L0
0.1,7.3,475.0,-1,81024207YJEG
8.0,3.4,50.0,-1,447820X99KJB
0.4,4.3,275.0,-1,120112B4D11N
4.5,2.4,50.0,-1,408020JF66K6
3.3,2.5,1275.0,-1,484201NQK5PG
