Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
1.9,0.2,425.0,-1,811120UDSMGU
8.0,8.1,1350.0,-1,115887V9906G
0.1,5.7,2050.0,-1,782111NL8VKS
1.6,8.1,175.0,-1,151821Z8RN0Y
8.1,3.3,50.0,-1,805201JAT6WZ
5.7,2.6,1400.0,-1,8210104WZCN4
0.1,4.4,875.0,-1,015071GIEOL0
3.1,8.1,1325.0,-1,818082W5PBJK
8.1,0.1,775.0,-1,2818810IKR9M
2.2,4.0,50.0,-1,010787TPO4UX
2.0,1.6,1325.0,-1,50200865BXN4
5.1,1.2,50.0,-1,52081121DOVI
2.9,4.8,1475.0,-1,102220BH17UU
4.7,0.1,900.0,-1,201752E7UEX7
8.1,4.8,1225.0,-1,2118106J2FND
0.2,8.1,1575.0,-1,272887TTEATQ
5.5,6.3,1400.0,-1,7572124X11IC
0.1,3.5,1575.0,-1,1508016B4TC7
0.1,2.4,325.0,-1,821815606083
0.1,7.0,675.0,-1,2171809YJ02J
0.1,0.8,900.0,-1,0205122QX52T
8.1,2.2,1175.0,-1,1018825HMASH
4.0,7.9,50.0,-1,5222027YHGK0
0.7,5.8,1375.0,-1,112517SCP3DY
7.4,1.1,250.0,-1,8150017ZQ92I
0.4,5.1,325.0,-1,1717110MMS3X
2.8,1.7,50.0,-1,817102P11B0C
6.6,0.5,1175.0,-1,570507FCUCJU
2.6,6.2,50.0,-1,712711K74IR6
2.6,0.3,925.0,-1,720278PO84X6
4.1,1.2,1325.0,-1,121525BDMPQ5
3.9,0.7,450.0,-1,081811PUO3AW
