Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
3.2,4.6,1300.0,-1,447244UYNZ6W
8.1,1.0,125.0,-1,742872GTA43T
1.0,0.6,50.0,-1,877447EC4SYT
0.5,8.1,225.0,-1,484872RCEFHV
0.1,0.2,2025.0,-1,227147YM1AKM
8.1,8.1,1250.0,-1,444477JU9EFK
8.0,3.0,1275.0,-1,822247K6L6OP
0.1,8.1,1675.0,-1,822877O392JN
4.4,0.3,875.0,-1,788148CZ9221
0.3,4.1,575.0,-1,274224WHZ9KB
0.3,0.1,1025.0,-1,818147PCKRFS
4.5,2.6,50.0,-1,477444ME2Z3C
0.1,4.2,1800.0,-1,847827AKVKGT
4.4,8.1,1350.0,-1,287274LT4D4P
4.0,7.7,50.0,-1,87117429JGGN
7.6,0.3,875.0,-1,817424M8DY58
6.4,5.6,1350.0,-1,114427905FXS
2.1,5.3,50.0,-1,847111JT0A5N
0.1,6.8,900.0,-1,444444XRSNF2
0.6,2.8,1200.0,-1,247477D4IIV4
5.2,2.5,1250.0,-1,442444L9BN89
5.6,0.4,275.0,-1,848844KWNWUC
2.0,6.9,1350.0,-1,718427QYH4I4
7.0,3.2,50.0,-1,847142JGZXQF
2.1,0.4,600.0,-1,441447UK32YP
2.8,1.7,1175.0,-1,842477CT2IVS
1.8,2.9,50.0,-1,474724NMSAXR
0.1,1.7,550.0,-1,471441M2MSSV
3.4,0.7,150.0,-1,782474ZX5V0C
0.4,6.0,325.0,-1,184227YSIHKV
1.1,4.8,1350.0,-1,177441RPB5P6
0.1,2.3,2025.0,-1,474248JP2PAN
