Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
6.7,1.4,1300.0,-1,287829ELWZ77
0.1,8.1,1900.0,-1,2967793AT0R9
3.7,8.0,50.0,-1,778291WH5SBT
0.1,1.2,375.0,-1,628998BLTSCZ
8.1,8.1,1450.0,-1,192788CB9VEN
8.1,3.2,50.0,-1,797489GVERIG
1.8,3.4,1500.0,-1,7984429AJ50O
0.1,6.7,750.0,-1,671717HOYB8E
4.6,0.6,325.0,-1,812464EWUZKS
3.8,7.3,1325.0,-1,629919I4869L
2.4,4.2,50.0,-1,641299GRW8B0
2.4,0.2,1050.0,-1,712927RDQ1RE
6.4,4.9,1500.0,-1,712627R4YM5E
8.1,0.6,575.0,-1,4619296NN43A
0.1,3.6,850.0,-1,688979V9ODHT
0.1,5.8,1450.0,-1,2776213EOPKF
0.1,1.2,1350.0,-1,794799Y4O7MG
4.4,3.0,1300.0,-1,787828YUZ1B4
2.4,8.1,650.0,-1,999669QC7BYP
1.2,8.1,1250.0,-1,996679WZEZ24
2.4,1.5,50.0,-1,1197123TF4CG
5.0,0.1,950.0,-1,212129Z9STY0
1.6,6.4,250.0,-1,1616771EBNUS
5.8,2.4,50.0,-1,4722712EIOA0
8.1,3.4,1300.0,-1,416742M2QM6U
3.5,5.0,1500.0,-1,1192191QFBR4
6.1,7.1,1325.0,-1,9224924PYYVI
2.0,0.1,500.0,-1,9871991CLC5A
0.6,3.4,300.0,-1,687816S0RUPF
0.3,0.1,875.0,-1,2627727PK3KY
8.1,6.0,1325.0,-1,642929SB0WQ4
2.0,6.1,1225.0,-1,671674QDPLZM
