Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
6.1,1.8,1150.0,-1,87840749WGQR
0.1,8.1,200.0,-1,118883K1VZ9E
0.1,5.4,2050.0,-1,822514FHFF0N
0.1,1.0,275.0,-1,723112GWKHZ2
8.0,8.1,1400.0,-1,453555UPVUAV
8.1,3.9,50.0,-1,714843PUPVT3
3.0,8.1,1275.0,-1,122141HVM2EI
4.7,0.6,50.0,-1,512708WRJG5E
1.5,1.8,1375.0,-1,281554H30LKV
2.2,4.5,50.0,-1,807787US6TYA
8.1,0.1,450.0,-1,723814IOOC8K
5.4,5.3,1425.0,-1,433080HV48WL
0.1,4.0,725.0,-1,378143LYTNPL
3.5,8.0,50.0,-1,441304I4K1RC
3.4,0.1,825.0,-1,301447MFG5K0
2.1,5.0,1400.0,-1,175807B1H26F
0.2,8.1,1650.0,-1,205220BYHEBV
8.1,4.1,1225.0,-1,582152LIHSL8
3.9,3.0,1425.0,-1,242403FKG5Z7
8.1,0.1,1225.0,-1,2031720NTJTA
0.2,0.4,925.0,-1,834273D8QCUZ
2.4,1.9,50.0,-1,24543804SQ38
5.5,7.8,1325.0,-1,4221724N7RZ9
0.1,3.7,1575.0,-1,043483FUCNBU
5.8,0.2,675.0,-1,2582842SLR9Y
6.9,1.7,75.0,-1,452023VDSIAJ
0.3,5.7,275.0,-1,002512UPR679
0.3,3.3,175.0,-1,713447B4WFG2
2.1,0.1,375.0,-1,2440702T0MVI
7.2,6.2,1225.0,-1,272181AY8SQ0
0.2,5.9,1525.0,-1,4111816LJ5F5
2.0,6.9,1625.0,-1,155413KDNW11
