Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
0.1,2.8,950.0,-1,4468760BAXGA
7.9,5.8,1325.0,-1,3731219790LI
2.2,7.0,125.0,-1,8388818TWEYL
0.1,7.0,1925.0,-1,742272ZWUP2C
3.7,0.7,200.0,-1,632327ZIKP5S
3.4,5.8,1325.0,-1,8886178U28WU
4.0,0.7,1100.0,-1,674337TI3E0K
0.1,6.4,950.0,-1,1241315GHY3Z
0.4,0.7,200.0,-1,877888C761VH
1.0,4.3,1475.0,-1,84831245C9PZ
6.4,3.7,1250.0,-1,8423871SE6ST
0.1,4.6,500.0,-1,374724KZY8XD
1.0,0.7,1025.0,-1,8147442C7O45
1.6,4.0,1025.0,-1,181437FWLXYK
0.4,6.1,1550.0,-1,737682EBDDKJ
2.2,1.0,50.0,-1,768388PA1XV4
1.3,0.4,650.0,-1,773773EVVI5O
0.1,5.5,2000.0,-1,238888CMJMR2
0.1,4.3,875.0,-1,47487801MYTC
0.7,3.4,1250.0,-1,828717PM0M6E
0.1,0.7,500.0,-1,3368438O6MTN
7.9,4.6,1325.0,-1,7838728BMDUV
0.7,2.2,1100.0,-1,7868317JXEM1
7.0,4.6,1250.0,-1,383277U9IIJR
1.0,5.2,1475.0,-1,314863K7D18Y
0.4,3.4,800.0,-1,331878CIZOTU
1.9,0.7,1025.0,-1,432736FPQQ7R
0.1,6.4,1700.0,-1,377781ON4FX5
0.7,4.0,950.0,-1,873772CJ2AYG
1.3,4.6,1100.0,-1,7373887NB2HH
1.3,4.9,1325.0,-1,3273621D1LUJ
0.1,1.0,350.0,-1,2318410PAUEW
