Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
1.3,1.0,1375.0,-1,281928NQ1RR3
8.1,8.1,1050.0,-1,383283A3UDZX
1.0,8.1,75.0,-1,939282YGNV97
6.9,1.6,50.0,-1,2729796EYETU
0.1,7.3,1650.0,-1,788877NPNLIA
1.9,3.0,175.0,-1,721883XM79S0
5.8,3.5,1225.0,-1,288779DQTD2J
3.9,7.9,1200.0,-1,98139915CX5P
4.1,0.5,700.0,-1,17982255RJHJ
0.1,5.5,775.0,-1,982317AB6HDV
0.1,3.7,1925.0,-1,729229PVNJ0V
2.6,4.7,1375.0,-1,8777135BG87B
8.1,3.2,675.0,-1,318971QR4V1M
0.1,1.2,650.0,-1,877722537DEZ
0.1,0.2,2050.0,-1,3781175VQ2ZE
1.4,8.1,825.0,-1,818728LG4NZK
8.1,5.3,1250.0,-1,9872784HISRF
4.1,1.4,50.0,-1,8227314NHKHC
2.2,5.7,50.0,-1,229872PMU0A2
3.4,2.4,1125.0,-1,899977Q8OK0J
5.5,6.0,1375.0,-1,978287P6VKM1
6.4,1.4,825.0,-1,893239NP9GPD
0.3,5.1,1450.0,-1,777878EL45Q6
8.1,3.6,50.0,-1,287172PKZD96
2.3,6.9,1525.0,-1,792788GCLM6U
1.9,0.1,875.0,-1,819392T6ETII
0.9,3.4,675.0,-1,232273A45VZZ
6.2,8.1,1350.0,-1,2327239G9UAE
2.4,1.1,400.0,-1,8928227SVBKQ
1.1,3.1,1475.0,-1,277732QHULNV
1.2,6.7,450.0,-1,2889927MRTTE
0.1,7.0,1125.0,-1,228882VADT1F
