Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
4.0,1.7,150.0,-1,2063063XIPXP
0.1,8.1,2025.0,-1,627000P7PZF3
8.1,8.1,1175.0,-1,732621WZU3WO
0.2,0.1,1875.0,-1,6813236E8TCN
0.9,8.1,250.0,-1,712387JDBDKR
8.1,0.1,1350.0,-1,6837821KLBD8
3.6,4.7,1325.0,-1,110323B74M7D
0.1,0.2,700.0,-1,7323832TVYLQ
0.1,3.8,50.0,-1,202666J4RV4O
8.1,3.2,75.0,-1,327323FGQN2R
7.6,4.1,1250.0,-1,26333866C5TG
0.1,4.1,1800.0,-1,271770WYDJJ4
4.2,0.8,1125.0,-1,668626DUOF30
2.3,8.1,1275.0,-1,0370262XMH2D
7.0,0.1,475.0,-1,733272ACR1E1
4.1,8.1,50.0,-1,802262NSF1PD
1.4,2.4,1200.0,-1,00032827WB66
5.2,7.3,1325.0,-1,378233NNPPQF
2.6,5.5,50.0,-1,00732634M9UU
1.2,1.0,50.0,-1,31266115MKRJ
2.7,0.1,575.0,-1,360017SBTBHN
0.7,6.4,1550.0,-1,036333SCTR6D
6.4,1.9,1250.0,-1,6663639VHB9J
0.1,5.9,375.0,-1,23722394N2IG
0.1,0.5,1300.0,-1,728631MMB34I
6.3,1.7,50.0,-1,062832PDA501
4.9,0.6,600.0,-1,103306WD68SG
5.7,5.2,1200.0,-1,682813ZW89AO
1.4,4.5,1350.0,-1,666883F7MNO3
2.1,3.0,50.0,-1,670328MSIF7S
0.2,2.2,2050.0,-1,613836XV9EGN
4.5,2.9,1150.0,-1,633306WOCXOR
