Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
1.0,5.2,500.0,-1,5427556HHTHQ
8.1,0.1,1325.0,-1,2754778354D5
0.3,0.1,2050.0,-1,4555558GG7WO
8.1,8.1,1125.0,-1,475275ROCRO5
6.9,3.6,50.0,-1,245241T9J75I
0.1,8.1,1750.0,-1,552217SVX0JR
0.1,0.1,125.0,-1,157775231DKB
4.7,4.1,1400.0,-1,4222746SYKJ6
4.7,8.1,50.0,-1,117545JUKQYZ
4.3,0.5,650.0,-1,445441YCDAX9
0.1,3.8,1500.0,-1,117525M66I7T
3.8,8.1,1300.0,-1,422175AIPDFX
0.8,0.3,1075.0,-1,175724SLNNTQ
8.1,7.0,75.0,-1,477545SSWYDB
8.1,4.8,1425.0,-1,547211DK626V
8.1,0.9,475.0,-1,7557579Y96P3
2.0,2.7,50.0,-1,454554XCAUBB
1.6,8.1,250.0,-1,225271WTLTVK
2.2,5.7,1350.0,-1,5274223EZXBA
0.2,2.5,625.0,-1,44757210LXER
2.4,2.6,1200.0,-1,2254548DGVO0
5.6,1.4,1250.0,-1,472525QDO9ZA
3.1,5.7,50.0,-1,774174CEVEIA
6.1,6.7,1475.0,-1,5551770D8O9A
4.7,2.0,100.0,-1,47472293WFJZ
1.9,0.4,525.0,-1,542557OZHJ1B
7.8,2.5,1300.0,-1,454415VCLLYJ
0.5,1.5,1575.0,-1,2775172QLCVB
6.5,0.2,825.0,-1,572455XMEFI9
0.1,7.2,600.0,-1,774751ZZBHIB
0.2,6.0,1575.0,-1,545575I290RQ
0.1,4.5,975.0,-1,554272BY0LD9
