Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
3.3,0.3,650.0,-1,1636376NW5PE
0.1,8.1,2000.0,-1,672283RAFU2O
8.1,7.3,1175.0,-1,727127FOHYS7
1.6,7.5,125.0,-1,818222ZGV3XT
0.1,1.4,2050.0,-1,3721223SVSON
8.0,3.2,50.0,-1,72222178CS5F
8.1,1.4,1350.0,-1,727268FBPK1W
3.3,5.0,1275.0,-1,623172XK69S0
0.1,3.5,525.0,-1,182731Y8RPCI
0.1,0.1,1150.0,-1,732117GQRE73
7.0,0.2,525.0,-1,822822T2URFZ
0.1,4.7,1675.0,-1,127271KK9DKQ
4.4,2.7,50.0,-1,232711X8ZDCI
4.8,8.1,1425.0,-1,112127ANEORU
4.9,2.1,1225.0,-1,881232AJ54C6
1.1,0.9,50.0,-1,283827KVFDR7
0.1,6.5,825.0,-1,71818385FW57
7.0,4.4,1300.0,-1,727227LDLIN0
1.7,8.0,1350.0,-1,277811JR55VH
2.1,4.6,50.0,-1,238278BFVLQ5
1.9,2.4,1275.0,-1,6776129DSTM1
0.1,1.1,600.0,-1,277331GF02ZE
0.3,4.1,1100.0,-1,278217R366MJ
3.9,8.0,50.0,-1,883863ODMDWD
5.0,0.6,250.0,-1,2322829FLHZV
5.4,6.0,1275.0,-1,321872NNWUOP
5.3,0.3,900.0,-1,117238M0AP2O
0.4,5.6,325.0,-1,123362VOOS06
1.2,5.9,1300.0,-1,7122772ZQQBD
0.1,2.4,1575.0,-1,128126L9FG0U
0.8,3.0,50.0,-1,276261U37CHQ
0.1,8.0,450.0,-1,1887273WIZR3
