Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
0.2,6.8,425.0,-1,2111679B2HJE
8.1,0.6,1325.0,-1,4433327KVNA1
0.1,1.2,2050.0,-1,734181YQ4O1T
6.8,8.1,1350.0,-1,161686FR2U2Y
2.8,0.2,75.0,-1,614331GNJ09U
0.1,7.8,2050.0,-1,343261BVQL9E
8.0,3.5,50.0,-1,186123NAIIAA
3.7,3.7,1250.0,-1,436811TRBGME
0.2,0.1,975.0,-1,123273RO0PYY
3.9,8.1,75.0,-1,118628PU2VUR
2.8,7.7,1300.0,-1,3118120S5YVP
6.4,0.3,450.0,-1,14411319T4E7
8.1,4.5,1200.0,-1,162331GR3VD4
0.3,3.0,275.0,-1,832162HL3OC5
0.1,5.0,1275.0,-1,343334IJT4S9
4.4,3.4,50.0,-1,371243WY2362
3.6,0.5,950.0,-1,4111425S4Y48
0.2,4.4,2050.0,-1,744213ZMZ4AW
2.4,5.6,50.0,-1,6623475648N2
1.1,2.4,1300.0,-1,1412786Y19OS
6.1,2.4,1200.0,-1,811344G3EMT0
5.5,5.7,1375.0,-1,162134AXN2BR
0.3,7.5,1400.0,-1,117364UDLCOF
0.6,0.6,375.0,-1,362781A30POJ
0.5,4.7,700.0,-1,3266888FFSJX
8.1,1.2,150.0,-1,433164MWE91C
2.3,5.5,1225.0,-1,123373T12FJ6
4.8,1.2,125.0,-1,173611NATSRD
1.9,8.1,300.0,-1,3711186QTNN4
5.8,0.4,975.0,-1,221367F16B8G
8.1,0.2,775.0,-1,113133HVVWS1
2.2,3.4,50.0,-1,7111711DTX13
