Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
7.6,0.7,1575.0,-1,517577FSH2GB
0.1,8.1,50.0,-1,524144NQ0C4N
0.1,4.7,2050.0,-1,51224161OQ20
8.1,8.1,625.0,-1,114555CFRYT5
2.1,0.1,50.0,-1,561715CPVPP5
8.1,2.2,50.0,-1,175154SC945J
5.4,8.1,2050.0,-1,745511IHKL8X
3.5,4.7,875.0,-1,445755KMKGPG
1.4,0.1,1400.0,-1,557656CPZ01L
0.5,8.1,1225.0,-1,5425119FF7JD
4.6,3.6,2050.0,-1,57471751JSXK
8.1,5.2,1475.0,-1,564542XCAW0K
4.4,7.4,50.0,-1,22555212NSFN
0.1,3.8,250.0,-1,2144421786M9
5.4,0.1,700.0,-1,264655MI0QIC
4.4,3.1,50.0,-1,421551328W7P
4.8,8.1,1100.0,-1,452147QS3JGZ
0.2,3.5,1175.0,-1,565124V5YYL6
7.0,4.7,625.0,-1,224157VLTQ5T
3.9,0.1,2050.0,-1,454511NCVWSB
1.8,7.9,2050.0,-1,147274P525WW
4.3,2.0,1325.0,-1,515441W1JOO9
0.1,0.9,675.0,-1,665555I0D88T
0.1,1.5,2050.0,-1,512116MC1N0T
8.1,1.8,850.0,-1,442644CKPW6X
3.6,6.0,1600.0,-1,726476K5NRBC
2.2,7.3,600.0,-1,42147258OVEY
8.1,3.1,2050.0,-1,745412TTTBD8
8.1,8.1,1700.0,-1,155562T9WF1L
3.0,1.9,650.0,-1,725517HY2YFQ
8.1,6.2,50.0,-1,67551106DM41
2.1,3.1,1725.0,-1,542544LKVPAX
