Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
1.9,7.3,250.0,-1,27315296Z7IS
8.1,0.1,875.0,-1,719132ZKZCIN
0.1,4.0,2050.0,-1,883525BJYAYN
8.1,8.0,1350.0,-1,778719YKHYK4
0.1,0.3,475.0,-1,118711MNLA89
4.6,3.9,1300.0,-1,93817331NHIZ
4.7,2.2,50.0,-1,983171LG4GH9
1.3,8.1,1450.0,-1,271891IR4OKN
0.1,4.2,750.0,-1,237377RWS3B9
4.0,0.2,900.0,-1,132371FSMU12
8.1,3.8,50.0,-1,388312DZM0WT
8.1,3.3,1275.0,-1,115817R9XUXH
1.5,2.0,1350.0,-1,251317EDXTC4
4.7,7.4,1300.0,-1,18353108PUJP
1.4,2.9,50.0,-1,732817664D7Z
1.8,5.1,1375.0,-1,391783U4LQ5W
0.1,6.9,2050.0,-1,1197334R6PTO
7.3,1.1,225.0,-1,332153YTUT4J
6.0,1.5,1275.0,-1,119191DS1Y2H
2.7,0.5,250.0,-1,373811V9OFNM
6.7,5.6,1375.0,-1,737111K8PF90
2.6,5.1,50.0,-1,518191C1T778
4.1,8.0,50.0,-1,233939MS7QBG
0.1,6.6,600.0,-1,551177VHWLSH
1.6,0.4,925.0,-1,125351YSL2TP
5.2,0.4,400.0,-1,398175NV3PX7
3.8,1.8,1350.0,-1,379811AI8WAQ
0.1,3.7,1475.0,-1,781512ZMXLQJ
0.1,2.0,850.0,-1,132311JE3LRS
0.6,4.9,250.0,-1,19973106GNYJ
0.2,6.3,1550.0,-1,972811YM3556
2.7,6.9,1225.0,-1,1315910IM9SZ
