Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
1.0,4.0,1475.0,-1,717744NF7SXT
5.2,0.7,200.0,-1,172767G1LNY1
7.0,4.3,1250.0,-1,776871ZNQK6Y
0.1,0.7,425.0,-1,873638ZTUBG3
0.1,7.3,1625.0,-1,4877863MIUTB
1.3,1.0,1100.0,-1,8632786JXZP6
0.4,5.5,875.0,-1,478686GNZ0HV
0.1,5.2,2000.0,-1,737777FZXGTH
2.8,1.3,50.0,-1,337688HNKJ5K
0.7,3.1,950.0,-1,846278Y7P0PP
1.0,5.8,1400.0,-1,2617427609PG
1.9,4.3,1100.0,-1,264786LZAAQ6
0.1,6.7,1925.0,-1,787673NE6JMU
4.0,1.0,125.0,-1,778778KBJ7DQ
0.7,7.0,1400.0,-1,73873252KYMT
1.0,0.4,575.0,-1,737868ZXSTKR
1.3,2.5,1100.0,-1,776746YQCFCZ
1.0,4.6,1100.0,-1,468868MV6RY2
1.3,4.9,1400.0,-1,727811O9CFP8
7.0,3.4,1250.0,-1,826737UDRTW0
1.6,4.9,1175.0,-1,822238BODHD2
0.7,3.4,1400.0,-1,123786ABFMT4
1.6,3.7,1025.0,-1,2131737JWY2S
0.4,3.7,950.0,-1,423736BJYUWG
0.1,5.5,1850.0,-1,4877475ZUYN9
1.3,3.1,1025.0,-1,473443VUYQ3C
0.1,6.1,1925.0,-1,4647832DPI45
4.6,0.7,200.0,-1,884371I237RM
0.4,2.8,875.0,-1,774177O0NZO0
0.4,6.7,1475.0,-1,711486TES2BN
1.3,4.3,1025.0,-1,871173Y9TWFJ
0.1,3.4,950.0,-1,7288263V3L22
