Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
1.7,1.3,1150.0,-1,888400FN4XKB
8.1,8.1,1650.0,-1,608801JX0VMT
8.1,3.3,50.0,-1,177168KZ9X7T
0.1,8.1,250.0,-1,884468B02PCC
0.1,7.7,2050.0,-1,747880VHN9PK
5.3,8.1,50.0,-1,8478875ESRCS
2.5,3.7,50.0,-1,117868SHWX5H
6.5,3.3,1250.0,-1,778441ERPAXT
3.7,6.9,1350.0,-1,1870171LKHKF
0.1,0.1,150.0,-1,748047B4VC4D
0.1,0.5,2050.0,-1,870088K3FGP6
0.1,4.9,1250.0,-1,804484Q6ZJ3N
4.9,2.1,550.0,-1,801887BVAY8J
2.9,6.5,350.0,-1,1777149G06Z3
5.3,4.9,50.0,-1,488786FH67X8
3.3,3.7,1350.0,-1,788410QI3RHT
0.1,4.9,350.0,-1,70818408R373
8.1,5.3,1550.0,-1,777444PNS601
2.5,0.9,450.0,-1,847444SXXIMA
8.1,2.5,750.0,-1,8878489N5JBH
1.3,7.7,1450.0,-1,888144M1Y9LX
0.1,2.5,1550.0,-1,8187047BKGBS
0.5,2.5,250.0,-1,6487169F0XBV
5.7,8.1,1550.0,-1,447788IMUSW9
0.1,0.1,750.0,-1,417078SRDRH4
5.7,5.3,1550.0,-1,186478HI2NJW
0.1,0.1,1450.0,-1,811167V9ZKRD
4.1,2.1,1050.0,-1,1440807NKRF1
2.1,5.7,1450.0,-1,0487462YL80X
6.5,3.3,450.0,-1,868084JX4CJU
2.1,0.1,2050.0,-1,118877GOOKKQ
0.1,6.1,1650.0,-1,0781716TE98P
