Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
4.9,3.1,2000.0,-1,447124RZ2J3Y
7.6,7.9,50.0,-1,746668TQZJ75
0.7,1.9,125.0,-1,744187JQT98E
7.6,1.0,200.0,-1,648864HETX37
0.1,7.0,1625.0,-1,176868YG5RS3
7.9,7.9,2000.0,-1,444684QO4H6I
0.4,6.7,350.0,-1,847416CUEBXH
4.6,7.0,1325.0,-1,778448UF8UZS
1.6,1.9,1175.0,-1,447447VRRREY
7.9,0.1,1850.0,-1,444747RNOIAM
7.9,4.3,1325.0,-1,184474IHMLVN
4.0,0.7,200.0,-1,414414G6NE2N
4.0,0.1,2000.0,-1,748626BBUE8B
7.9,7.6,1250.0,-1,247648V5545D
1.3,4.9,1175.0,-1,847421HSAQ1M
6.7,3.4,50.0,-1,646478953Z57
0.1,4.3,500.0,-1,788478Y43K16
5.5,7.9,2000.0,-1,761886GGJ2RW
2.2,7.3,1400.0,-1,42747775M2A8
0.1,3.1,950.0,-1,484476R6TNQB
3.1,4.0,1250.0,-1,88747822VPY6
5.8,0.1,1775.0,-1,147874I78UKF
0.1,5.2,1850.0,-1,164448QDEFEZ
0.4,0.4,1100.0,-1,244141SWZWX3
6.1,7.9,1400.0,-1,262474APPVCW
7.0,5.8,1325.0,-1,686827269FSS
1.0,4.3,1550.0,-1,718848LG0YD3
3.4,5.5,1325.0,-1,617874P0H81W
5.8,4.3,2000.0,-1,811424MLFSCZ
0.7,5.8,1475.0,-1,871446O1ZRZP
6.7,3.7,1250.0,-1,884446ELAJLR
6.7,0.1,2000.0,-1,774777QJ713W
