Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
3.5,1.0,1025.0,-1,7227072I6CPZ
8.1,8.1,1550.0,-1,0332771L42UM
2.8,8.0,50.0,-1,7320206Y2UMC
8.1,2.2,50.0,-1,1100010Z0EMV
0.1,3.1,50.0,-1,0790020FEDDH
3.1,6.3,1325.0,-1,727707CJP9WN
8.1,2.8,1500.0,-1,292722CB8BOI
0.1,3.4,1175.0,-1,91372030CXJQ
4.5,0.1,50.0,-1,7972779AEXWM
7.2,0.1,850.0,-1,797277556DIQ
0.1,0.1,650.0,-1,799707IO6SQU
2.3,5.1,525.0,-1,2030772STUS7
6.3,5.5,1300.0,-1,7010026SAAK1
4.1,8.1,750.0,-1,033197SS7L9G
4.1,3.5,1425.0,-1,7273995X5WG7
2.3,1.6,350.0,-1,279901V1AA7D
5.3,8.1,1425.0,-1,7730977UHGXQ
5.9,1.4,1350.0,-1,72223747E3BC
6.9,0.1,225.0,-1,770091YDO04P
2.4,3.2,925.0,-1,7077372K0ELA
0.7,0.1,50.0,-1,309927Y3W7KQ
1.0,5.7,1025.0,-1,703303D0841C
0.1,4.1,600.0,-1,9907709S7YOQ
2.6,3.7,50.0,-1,792000DXV8WL
5.0,0.1,625.0,-1,027792K5VXA2
1.1,1.3,1100.0,-1,0223729GPIEO
2.0,7.3,650.0,-1,200727RZIVJ3
8.1,0.7,1325.0,-1,270323RHRIQQ
3.2,5.8,50.0,-1,077172D3KV7X
8.1,5.0,1550.0,-1,297079RFE4MQ
0.6,2.1,625.0,-1,2707026T2PEN
5.8,1.7,50.0,-1,791713S8Z2UT
