Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
2.6,2.6,625.0,-1,678677KV0BGO
8.1,8.1,2050.0,-1,786181SCJMHL
0.1,7.7,2050.0,-1,117271ONX4MD
7.7,0.1,2050.0,-1,777772B2YW5T
8.1,8.0,50.0,-1,166227EUI071
0.1,0.1,2050.0,-1,827888LLBPKS
8.1,0.1,50.0,-1,766711FM6E64
0.1,8.1,50.0,-1,6711171I8HD5
4.1,7.8,1050.0,-1,787117E6L0KW
8.1,4.0,1075.0,-1,678761ODZ7YY
4.2,4.2,2050.0,-1,616278WOEENW
5.9,0.1,1025.0,-1,776217VTLRFE
0.1,5.9,1025.0,-1,117121K576Q6
6.1,4.1,75.0,-1,116172YX4CR2
0.1,0.1,50.0,-1,677177Q5ZE3H
4.1,7.6,50.0,-1,111166PNSWZN
8.1,8.0,1050.0,-1,611761XBCKZP
0.1,0.1,1050.0,-1,6176178ZZGYI
4.0,8.1,2025.0,-1,1716113FK508
8.1,4.1,2050.0,-1,717717PB0VLH
3.9,0.4,1875.0,-1,8716710YICSP
0.4,3.9,1875.0,-1,266721GP4SWW
4.3,0.1,50.0,-1,867671KJUWIB
0.1,4.3,50.0,-1,671681BOWKKP
4.6,4.4,1175.0,-1,676826T1NGJ9
6.2,2.3,1600.0,-1,721877G2FWHQ
2.4,6.0,1575.0,-1,166111LDCL4O
2.3,2.3,1400.0,-1,117862XKOGNT
2.5,5.7,525.0,-1,1166772SZQ2C
6.1,6.6,1575.0,-1,811881ZOWLL8
6.2,6.5,575.0,-1,8271128EF9K2
7.2,2.1,550.0,-1,117111BEXX6H
