Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
0.4,5.6,1325.0,-1,122799OX9LK8
8.1,0.4,275.0,-1,254213O5Q1Z4
8.1,8.0,1200.0,-1,593515F98NEP
0.9,0.1,200.0,-1,211857GG055G
3.6,7.9,50.0,-1,435721GHS59E
5.3,2.7,1375.0,-1,272937KADRIK
0.1,1.0,1300.0,-1,725171X4N8V1
0.5,4.6,200.0,-1,754751UC281R
4.4,2.7,50.0,-1,229589QGTIE9
3.9,8.1,1350.0,-1,221919B8A28F
0.2,8.0,2050.0,-1,181197GWKXKI
4.0,0.2,750.0,-1,521412DYJKG4
0.1,8.1,525.0,-1,158175HI2DJS
8.1,0.9,1150.0,-1,723941U9WBJQ
0.1,3.8,2050.0,-1,442144DBD4P4
8.1,4.6,1275.0,-1,2124122I2UYB
7.5,3.3,50.0,-1,4121326QZUK1
2.3,3.2,1225.0,-1,229439AYUZPE
0.2,2.3,650.0,-1,484529E4YUV3
5.4,5.6,1400.0,-1,524221JX973U
1.2,8.1,1225.0,-1,352124W73ZWR
1.8,2.4,50.0,-1,3722549EN442
1.5,0.1,825.0,-1,4515798M7L7J
2.9,5.8,1275.0,-1,133117IZL306
5.6,0.7,275.0,-1,3973376LHX2J
2.7,5.6,50.0,-1,175552NKCP1R
0.1,5.8,725.0,-1,922711ATZMY9
0.1,3.3,1450.0,-1,221239VW3M64
3.2,0.6,200.0,-1,342293RMXQXQ
6.3,0.2,825.0,-1,251241JNPWP3
3.5,1.3,1225.0,-1,744391PQAC5A
1.4,7.4,100.0,-1,574289GAIF9O
