Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
7.4,0.8,1125.0,-1,445165E3D9EU
0.1,8.1,325.0,-1,145544KEB27Q
0.1,2.2,2025.0,-1,775714P5PD5G
0.8,0.5,150.0,-1,572755FR6S61
6.3,8.1,1350.0,-1,456257LDEY5U
5.4,3.0,50.0,-1,1221547YPH79
0.1,6.9,1550.0,-1,455555R5LBT5
3.6,3.7,1275.0,-1,145255IWJZ98
4.1,7.9,50.0,-1,562721L0IWUJ
0.3,4.1,650.0,-1,565145FOBHQN
0.3,0.1,1150.0,-1,147512XDSPKO
8.1,4.6,1275.0,-1,166557233Y7P
4.1,0.3,650.0,-1,414615OM4M2J
8.1,0.2,2050.0,-1,5151219ZKEVC
7.6,0.2,225.0,-1,557142TAV46R
2.2,5.2,50.0,-1,555526VBH9OV
3.3,6.9,1350.0,-1,127256V1XAXJ
0.7,4.0,1450.0,-1,744554OQXG9L
8.1,3.3,50.0,-1,564156QNH8QW
2.7,1.2,1175.0,-1,444516KWVR4R
3.3,1.4,75.0,-1,446115OP3ZG5
5.6,5.4,1350.0,-1,2471544W3RW7
6.0,2.8,1250.0,-1,5551241TQWT0
1.0,3.0,125.0,-1,1551243ZAKRR
0.1,6.4,750.0,-1,4474540S20GQ
0.1,2.4,1050.0,-1,471145923RVI
1.8,0.4,675.0,-1,152412WDUUBR
5.4,0.7,175.0,-1,574545LX8VCC
8.1,6.8,1325.0,-1,457571AQR6Y6
6.3,0.2,675.0,-1,246225GIKAIL
2.0,7.4,125.0,-1,677262JO510Z
5.1,0.9,1100.0,-1,152655NWBOHF
