Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
4.7,6.6,1325.0,-1,934244CMSA73
0.1,0.1,1925.0,-1,493379JYSOWD
8.1,0.1,550.0,-1,421972KEWD09
0.7,2.2,50.0,-1,7471346YHDJ5
0.1,8.1,500.0,-1,744317RTZ64T
6.9,8.1,50.0,-1,197943WRTARA
4.0,1.6,1200.0,-1,127244UU8Z8J
0.1,5.2,1725.0,-1,744174XIYLHS
5.4,3.4,50.0,-1,477974FJ6VC1
8.1,3.5,1350.0,-1,474337DWMRIY
0.1,2.2,1050.0,-1,4417739AJZZ4
8.1,8.1,1075.0,-1,474437XW51X6
3.7,0.1,325.0,-1,7447426JM9VD
3.2,7.1,50.0,-1,474242K2FB4R
1.5,8.1,1375.0,-1,944447CBTF3Q
0.4,4.8,550.0,-1,17772431RQ5G
2.4,4.3,1250.0,-1,772944ZLJZ8D
8.1,0.3,1325.0,-1,944347PIP6CF
8.1,2.5,150.0,-1,4944445Y6TUI
1.9,0.3,850.0,-1,747744UXAM6O
0.3,2.8,2050.0,-1,774344BDJ6GU
5.4,3.9,1325.0,-1,274441AUW2H0
5.6,0.1,800.0,-1,777247QRSR76
7.2,5.9,1300.0,-1,132443YEPN2H
1.6,5.3,50.0,-1,724792DO64K6
6.1,1.4,325.0,-1,447443QQMOPH
6.4,1.8,1200.0,-1,7744499XMCQA
0.1,6.5,925.0,-1,744732M7ZX7G
3.6,2.1,50.0,-1,3944435WPLUL
0.4,1.4,550.0,-1,749441XEHOCQ
0.6,3.3,1500.0,-1,744747CG4VG7
6.2,8.1,1350.0,-1,4943344EPIJL
