Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
5.1,5.1,1350.0,-1,989805VXG6CY
0.1,0.7,125.0,-1,991809SH6IHW
0.1,8.1,275.0,-1,252920GO6LOF
8.1,0.5,400.0,-1,958587DQ5K8O
0.1,8.1,2025.0,-1,900999I7EGGT
0.1,2.5,1500.0,-1,229010QIBHLI
3.8,0.3,950.0,-1,520508G0NO6T
2.3,4.5,50.0,-1,99898964B5E5
8.1,8.1,1225.0,-1,2098906ZCKXR
4.3,8.1,50.0,-1,992770XSMPBK
8.0,2.3,1300.0,-1,7212798HV5NL
2.6,8.1,1250.0,-1,788790P6RH7X
4.6,1.4,50.0,-1,997959SF9DNF
8.0,3.9,50.0,-1,829122HL7GDH
0.1,3.4,650.0,-1,002955FW0XR6
0.3,5.8,1425.0,-1,859590ZRNQ7Q
0.6,0.4,900.0,-1,918280WXMPH4
3.2,2.7,1400.0,-1,0899180QJ06U
8.1,5.2,1350.0,-1,772279ZU5ZS8
0.1,4.5,2050.0,-1,057897T7K5R6
5.4,7.9,1400.0,-1,8898989QUVUC
6.6,0.3,975.0,-1,990250VM6A1G
2.5,0.3,375.0,-1,8988087TMIKL
0.1,6.0,650.0,-1,927888G4IFU5
2.7,5.6,1300.0,-1,089951KHAIQE
2.2,6.9,175.0,-1,109707QLF4V4
5.5,1.9,1350.0,-1,8588198GB0YE
0.5,3.0,50.0,-1,588818UO8CVY
0.4,8.1,1450.0,-1,119919JXDZCW
5.3,0.2,500.0,-1,8119999D5958
6.7,2.1,175.0,-1,8887709VEVJQ
2.5,2.1,50.0,-1,218087NPSUTO
