Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
0.7,5.6,1425.0,-1,2124542JU476
8.1,0.7,375.0,-1,455425F47C9K
8.1,8.1,1225.0,-1,544578RCFW4Y
0.9,0.2,250.0,-1,525885ZVFH7C
3.4,8.1,50.0,-1,1255454G8T29
0.1,0.2,2050.0,-1,845852LN4DG0
5.5,3.4,1325.0,-1,284554TMVZ7Y
0.9,4.6,350.0,-1,525255AWF4OL
4.0,8.1,1375.0,-1,272414L6OCP4
1.8,1.7,1175.0,-1,557485COBJ9T
4.5,1.7,50.0,-1,75581723Y55F
0.1,8.1,475.0,-1,225524DQHJYO
4.9,0.4,875.0,-1,152251BLGE1J
8.1,1.3,1200.0,-1,541524XAZB8Y
8.1,5.0,1300.0,-1,5447424Z4U0M
0.1,2.9,1725.0,-1,524575JM8MS4
8.0,3.3,50.0,-1,544245Z95J16
3.4,5.2,1300.0,-1,824845KPY9C9
0.1,8.1,1675.0,-1,874555M8QNYR
0.1,2.3,625.0,-1,454244DI511T
2.0,2.5,50.0,-1,525855E70G65
5.8,6.2,1375.0,-1,481454PHBEH4
0.1,0.1,925.0,-1,5855214WZ6HD
2.5,0.1,725.0,-1,528218TP1QRX
2.7,5.8,50.0,-1,544854E4J61E
0.1,0.7,1475.0,-1,185145A65NSG
5.9,0.5,375.0,-1,544558NA68UC
1.9,7.5,1350.0,-1,827424BOSEWI
4.0,1.9,1200.0,-1,4752547MZ9BU
1.7,3.8,1275.0,-1,445412GSBN6H
7.1,0.2,825.0,-1,544145TMLFIH
3.1,0.3,225.0,-1,851827XECBYN
