Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
7.3,0.5,250.0,-1,361786AHDDSW
5.3,8.1,2050.0,-1,871487OZFLDR
2.1,7.7,150.0,-1,867488B3N10I
3.3,0.1,2050.0,-1,783331DE0W84
0.1,2.1,750.0,-1,8718723BB9XU
8.1,7.7,650.0,-1,3811844JQ5VQ
8.1,3.3,1950.0,-1,838846RSH7P8
4.1,0.5,950.0,-1,73817849PJE7
2.9,4.1,2050.0,-1,467387CHTEJJ
8.1,4.5,150.0,-1,684818EDRG7Q
4.1,2.1,50.0,-1,4144729BDEL3
6.9,0.1,2050.0,-1,346872ZPHBP9
4.1,8.1,1250.0,-1,877288HTHZHW
8.1,0.1,1050.0,-1,286282BBCYCE
8.1,6.5,2050.0,-1,437884N0T3LB
0.9,3.7,1450.0,-1,343867LHRMWC
6.9,6.9,1350.0,-1,718317QLZSI9
6.9,8.1,50.0,-1,728214Q0AZLI
8.1,4.5,1350.0,-1,488768UUW5YL
2.5,2.1,1250.0,-1,781787PW55BH
1.7,2.1,2050.0,-1,643478EM627V
4.1,2.1,2050.0,-1,882288O0L1O6
5.7,0.1,650.0,-1,8242886EX6I1
8.1,2.5,1350.0,-1,882822B96DJJ
8.1,6.5,150.0,-1,246638TUUDAS
8.1,8.1,1750.0,-1,1388183SGXM4
4.5,0.5,250.0,-1,888687BMYVJL
7.7,2.9,50.0,-1,813268T33MM9
7.7,1.7,2050.0,-1,373188SABY3V
8.1,0.1,1750.0,-1,742884OLID5L
5.3,0.5,2050.0,-1,412378S0NQ1X
6.9,7.7,2050.0,-1,836387JX2823
