Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
7.3,1.0,1175.0,-1,843888C8ZPF4
0.1,8.1,350.0,-1,774138H9AMDO
0.6,0.1,50.0,-1,444841EXIKOW
6.0,8.1,1425.0,-1,4307488V02RM
0.1,3.3,1500.0,-1,324748LR3WP0
5.4,1.7,50.0,-1,4440885SY7OT
1.1,8.1,1600.0,-1,434447OSOJ01
2.9,0.1,1025.0,-1,881244B3NNFO
1.9,4.3,50.0,-1,018008FD9SVE
4.3,4.1,1300.0,-1,248848FR8UFG
8.1,4.9,1250.0,-1,4447772TPIRI
3.6,7.7,50.0,-1,204411N1NINJ
8.1,0.4,400.0,-1,278783ZRRKPH
0.1,1.3,800.0,-1,1434710RDQLT
5.4,0.1,650.0,-1,343804ACLY2T
1.8,5.5,1350.0,-1,242441ZBHLSW
0.1,5.4,500.0,-1,834320AME1W9
3.2,0.3,250.0,-1,11807240JYPH
2.2,2.6,1150.0,-1,78834401UE0P
3.5,7.5,1375.0,-1,244848ZWPP3D
0.1,2.6,225.0,-1,8100742WGJZL
4.8,1.6,1250.0,-1,478212NHJCWF
6.5,3.2,1325.0,-1,827414KYD6D4
5.9,5.8,1275.0,-1,804214D35DZR
8.1,7.3,1275.0,-1,8247307J7S7C
1.8,6.5,225.0,-1,2834827DGMD4
0.1,6.1,1700.0,-1,434718OA6WCA
7.9,2.1,50.0,-1,8842472CSWG3
1.5,0.1,550.0,-1,302840A5VM68
3.4,5.6,50.0,-1,8833140N72D1
1.7,1.7,50.0,-1,247374J0MNNF
0.3,1.7,1250.0,-1,488473645GTB
