Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
0.1,6.5,1750.0,-1,1887782YGVE1
8.1,0.5,150.0,-1,888486SUEGS1
0.5,2.1,150.0,-1,888787BLVTIP
7.3,7.7,1350.0,-1,8746162X3JDJ
0.5,0.5,2050.0,-1,6801781T4MNI
1.3,8.1,150.0,-1,716677U611SZ
4.5,2.9,1250.0,-1,781147L61OK5
0.5,2.9,1250.0,-1,814178BXY1OB
7.7,0.9,1150.0,-1,47787611ZRWP
5.3,2.9,50.0,-1,6884171A5403
0.1,5.7,750.0,-1,887607XNY1CC
2.5,8.1,1350.0,-1,8774485OA1YL
3.3,0.5,250.0,-1,801787RVE4S6
2.1,4.5,50.0,-1,4744889K4ZAT
4.9,6.5,1350.0,-1,87807783C24A
1.3,0.1,650.0,-1,407187XBEECX
2.5,4.5,1250.0,-1,607876D6Y13C
6.9,3.3,1250.0,-1,0181775NZJTJ
7.7,3.3,50.0,-1,777800ML4VEY
0.1,4.1,1750.0,-1,877718E59MRO
0.1,0.5,1150.0,-1,848486R881MY
0.1,3.7,550.0,-1,718870YYYBPW
2.1,1.3,1150.0,-1,67778884K9WM
2.5,6.5,50.0,-1,88811813XKU1
0.9,5.3,1450.0,-1,078744B0ZARO
6.1,1.3,150.0,-1,788477LBF9O1
0.9,5.3,350.0,-1,6000784L287Z
1.3,0.5,150.0,-1,6768189NRNTH
0.5,7.7,1450.0,-1,767660Z72UNT
0.5,6.9,450.0,-1,178768B4KMNK
6.9,6.1,1350.0,-1,188717G00V89
0.1,2.1,2050.0,-1,784881F8IOSF
