Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
5.1,1.7,75.0,-1,117777B0C8QA
0.1,8.1,1875.0,-1,279287THHNEC
8.1,8.1,1225.0,-1,778822BTH14J
1.0,0.1,2050.0,-1,127874LFHUWL
1.6,8.1,75.0,-1,282279LTYQ5H
0.1,3.1,750.0,-1,427727DMQU3R
8.1,2.8,1125.0,-1,774724QA1XR0
3.9,5.4,1375.0,-1,2792971LAWAF
3.8,1.0,1125.0,-1,499721Z508NS
0.2,4.0,1775.0,-1,272927HG7DBJ
2.4,4.4,50.0,-1,827122WY8YZY
0.1,7.6,925.0,-1,477274BW82FC
1.8,0.2,375.0,-1,194898OMCERJ
0.1,0.1,1200.0,-1,449229DOV1DD
8.1,3.3,50.0,-1,2972777WRH1A
6.5,0.4,725.0,-1,717441I9IE0Q
2.5,8.1,1400.0,-1,928821G10LJ3
6.7,5.5,1100.0,-1,292878RFVAVO
2.1,3.2,1275.0,-1,844417GRBPLJ
5.2,7.9,1200.0,-1,242777F3L1D0
0.6,5.6,475.0,-1,422942J3MF3W
5.3,3.2,1200.0,-1,721412B1SXSD
1.4,5.8,1450.0,-1,299227XOZNSL
4.2,0.1,500.0,-1,927777R9SWK8
2.7,2.0,50.0,-1,2872728U1WFS
0.5,1.7,1625.0,-1,287222XVSPTQ
8.1,2.0,550.0,-1,779172SFGBV2
1.7,1.1,900.0,-1,277277HIOX3G
0.9,2.1,325.0,-1,198472IVSHDO
0.1,0.1,675.0,-1,184222U8431A
0.1,6.0,1875.0,-1,972924SHAQZ4
0.5,8.1,1400.0,-1,771279SLF9H0
