Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
1.4,1.1,725.0,-1,455557AD1ASQ
8.1,8.1,1450.0,-1,445565GAH4Y2
0.1,8.1,1975.0,-1,764544GLVEIM
0.2,8.1,50.0,-1,244554LQIJ4Z
8.1,3.1,50.0,-1,5155154DXXKT
0.1,2.4,2050.0,-1,275764JQ4JVK
3.7,5.2,1325.0,-1,556265PC7KCM
8.1,3.4,1225.0,-1,52554590FG8M
4.8,0.1,50.0,-1,526555VI3BNR
1.9,4.3,50.0,-1,544554ORPMV6
7.8,0.1,700.0,-1,227554P7G8NN
5.0,2.6,750.0,-1,4544555UA5J9
0.1,4.4,1275.0,-1,461545CM3POI
1.4,0.1,1525.0,-1,451175ROYU22
2.1,8.1,1325.0,-1,441715GD6L4T
0.1,0.1,50.0,-1,111555OSSQK1
0.1,5.8,575.0,-1,4515469B2G3B
5.2,7.9,1225.0,-1,726541IUBJQY
2.9,2.4,1275.0,-1,476414KBVOH0
7.1,5.9,1075.0,-1,555544RTR9JG
2.5,1.6,100.0,-1,745657EZK9S3
3.9,0.2,675.0,-1,555512U25JBT
7.5,0.5,50.0,-1,741557H6TUL4
0.1,3.2,450.0,-1,445755PDP2AJ
1.2,6.1,1675.0,-1,555545QRXK9C
0.1,1.9,1225.0,-1,514476N4K4VL
7.5,2.6,650.0,-1,517564T6RC28
5.7,2.4,75.0,-1,765725FJ2YQT
5.7,3.8,1250.0,-1,225266BUM1Z2
0.4,0.1,2050.0,-1,5776153CSD5G
0.1,8.1,650.0,-1,454755BF95FJ
0.1,7.1,1250.0,-1,165555ONDOWP
